epoch,train_anchor_exact,train_loss,train_probe_ai_vs_zero_db,train_q_raw_mse,val_anchor_exact,val_probe_ai_to_h5_gap_db,val_probe_ai_vs_zero_db,val_q_raw_mse
1,0.83,42.16860595703125,-1.8762249106037967,0.00019736740447115153,0.8225,26.442281828470424,-0.6230811604112622,0.00020281587436329573
2,0.958125,35.7540185546875,,0.00015937464107992127,0.95,,,0.00017026515095494688
3,0.96625,35.50281707763672,,0.0001448034218628891,0.965,,,0.00014895293046720325
4,0.969375,35.31869079589844,,0.00013004374166484923,0.975,,,0.00013135894376318903
5,0.969375,35.16500793457031,3.7965100340728895,0.00012221699143992736,0.9725,24.71807924045902,1.101121427600139,0.00012214465183205903
6,0.969375,35.05012725830078,,0.00011533682845765725,0.9725,,,0.00011585754109546542
7,0.969375,34.9647720336914,,0.00011549472255865112,0.9725,,,0.00011650677653960883
8,0.969375,34.884777221679684,,0.00010732743714470417,0.9725,,,0.00010752902802778408
9,0.97,34.82121841430664,,0.00010380123974755406,0.9725,,,0.0001080778441973962
10,0.97,34.790908660888675,5.334150689981868,0.00010207744606304913,0.9725,22.97650522532828,2.8426954427308773,0.00010736429860116914
11,0.97,34.74543258666992,,0.00010479501768713817,0.9725,,,0.00011009335401467979
12,0.970625,34.72608139038086,,0.0001002531812991947,0.9725,,,0.00010746379935881122
13,0.97,34.688084564208985,,9.536733661661855e-05,0.9725,,,0.00010248735430650414
14,0.97,34.66584274291992,,9.412409941432998e-05,0.9725,,,0.00010235296707833186
15,0.97,34.623908615112306,5.56562055976526,9.270357666537166e-05,0.9725,22.88158210932095,2.9376185587382113,0.00010190469183726236
16,0.97,34.59883972167969,,9.145072777755559e-05,0.9725,,,0.00010233627865090966
17,0.970625,34.58160720825195,,9.060986281838269e-05,0.9725,,,0.00010334775317460298
18,0.970625,34.545560150146486,,8.860364032443613e-05,0.9725,,,0.00010218532435828819
19,0.97125,34.513847732543944,,8.69591033551842e-05,0.9725,,,0.00010352125449571759
20,0.97125,34.483216552734376,5.038148390695501,8.444124352536165e-05,0.9725,22.992823208183285,2.8263774598758786,0.00010515869915252552
21,0.97125,34.43366577148438,,8.029390126466751e-05,0.9725,,,0.00010323387599783019
22,0.970625,34.370416412353514,,8.229873899836094e-05,0.9725,,,0.00010626696748659015
23,0.970625,34.30748779296875,,7.935732806799933e-05,0.9725,,,0.0001063937647268176
24,0.96875,34.25961898803711,,8.538144669728353e-05,0.97,,,0.00010663301887689158
25,0.971875,34.198655395507814,4.49846237789654,8.022675901884214e-05,0.9725,23.177407847829883,2.6417928202292758,0.0001051859013387002
26,0.96875,34.10246017456055,,8.323219866724684e-05,0.965,,,0.0001146603430970572
27,0.969375,33.91467964172363,,8.211115695303306e-05,0.965,,,0.00011410734441597015
28,0.97125,33.691559371948244,,8.668544833199122e-05,0.9675,,,0.00011442954040830954
29,0.96875,33.74247299194336,,9.838215919444337e-05,0.97,,,0.00011396383255487309
30,0.97125,33.48891891479492,1.91436971605327,0.00010714560397900641,0.9725,24.937699122552473,0.8815015455066897,0.00012445980275515466
