epoch,train_anchor_exact,train_loss,train_probe_ai_vs_zero_db,train_q_raw_mse,val_anchor_exact,val_probe_ai_to_h5_gap_db,val_probe_ai_vs_zero_db,val_q_raw_mse
1,0.7875,39.763659973144534,-0.9861317380981266,0.00020244918996468187,0.775,27.48781253555643,-1.6686118674972705,0.00020884519268292933
2,0.923125,35.79360931396484,,0.0001596370612969622,0.925,,,0.00016458256926853208
3,0.94875,35.5651889038086,,0.0001426147244637832,0.9425,,,0.00014754393720068038
4,0.96875,35.35831573486328,,0.00012606965756276623,0.97,,,0.0001315015013096854
5,0.9675,35.19020599365234,2.012105957942645,0.00012222170422319324,0.975,24.94268495931617,0.8765157087429887,0.00012315569358179346
6,0.969375,35.08986312866211,,0.00011261282139457762,0.975,,,0.00011442916322266683
7,0.97,34.95850784301758,,0.00010520909447222948,0.975,,,0.00011139921378344297
8,0.97,34.88173797607422,,0.00010328560980269685,0.975,,,0.00010904203722020611
9,0.97,34.823566589355465,,0.00010101694730110466,0.975,,,0.00011090644809883088
10,0.970625,34.77525619506836,4.529216174599507,9.628348838305101e-05,0.975,23.716483410383205,2.1027172576759576,0.00010688587120966985
11,0.970625,34.726628112792966,,9.521203464828432e-05,0.975,,,0.0001064021882484667
12,0.970625,34.6959309387207,,9.08703739696648e-05,0.975,,,0.00010696202225517482
13,0.970625,34.64899154663086,,9.262865962227806e-05,0.975,,,0.00011464550101663917
14,0.970625,34.61364501953125,,8.615205195383168e-05,0.975,,,0.00011219681473448873
15,0.970625,34.55326065063477,4.4303460401067065,8.403594052651898e-05,0.975,23.441110306357228,2.378090361701934,0.0001129815127933398
