epoch,train_anchor_exact,train_loss,train_probe_ai_vs_zero_db,train_q_raw_mse,val_anchor_exact,val_probe_ai_to_h5_gap_db,val_probe_ai_vs_zero_db,val_q_raw_mse
1,0.696875,42.19352996826172,-1.4898579784067583,0.00021867226110771298,0.6975,28.833344511460613,-3.0141438434014556,0.00021565886214375496
2,0.943125,35.88689666748047,,0.00016508342523593455,0.935,,,0.0001714295442798175
3,0.96875,35.60830383300781,,0.00014900338079314678,0.975,,,0.00015208499069558457
4,0.969375,35.41738464355469,,0.0001363278238568455,0.975,,,0.00013761788606643676
5,0.97,35.23592025756836,3.35456076252038,0.0001250681618694216,0.975,24.12896689153393,1.6902337765252318,0.00012434608914190903
6,0.97,35.10557723999023,,0.00011906684027053416,0.975,,,0.000117781252192799
7,0.97,34.99721984863281,,0.00011368429579306394,0.975,,,0.00011248198599787429
8,0.97,34.934601287841794,,0.00011006844142684713,0.975,,,0.00010992020659614354
9,0.97,34.87301284790039,,0.00010615795239573345,0.975,,,0.00010565308417426422
10,0.97,34.827228698730465,3.6150897383846115,0.00010591638012556359,0.975,23.383257386387726,2.435943281671435,0.00010711520473705605
11,0.97,34.78575439453125,,0.0001013066373707261,0.9725,,,0.00010297036409610882
12,0.97,34.73395324707031,,9.940384334186091e-05,0.9725,,,0.00010286367789376527
13,0.97,34.707035522460934,,9.86911915242672e-05,0.9725,,,0.00010364098969148472
14,0.97,34.67061782836914,,9.650213673012331e-05,0.9725,,,0.00010242939461022616
15,0.97,34.646624145507815,4.1416636797208355,0.00010473335860297083,0.9725,23.340195357082482,2.479005310976678,0.00011032715963665396
