epoch,train_loss,val_loss,train_raw_mse,val_raw_mse,lr,seconds
1,8.923283003241522e-06,4.6414426469709726e-06,8.923283003241522e-06,4.6414426469709726e-06,0.0008,4.068889617919922
2,8.286535376100801e-06,4.421497505973093e-06,8.286535376100801e-06,4.421497505973093e-06,0.0008,0.04932880401611328
3,8.031153738556895e-06,4.2690516602306165e-06,8.031153738556895e-06,4.2690516602306165e-06,0.0008,0.03705096244812012
4,7.834993484721053e-06,4.317470629757736e-06,7.834993484721053e-06,4.317470629757736e-06,0.0008,0.05103588104248047
5,7.716374620940768e-06,4.253446732036536e-06,7.716374620940768e-06,4.253446732036536e-06,0.0008,0.04501032829284668
6,7.70535834817565e-06,4.260541627445491e-06,7.70535834817565e-06,4.260541627445491e-06,0.0008,0.04949641227722168
7,7.575934814667562e-06,4.241524293320254e-06,7.575934814667562e-06,4.241524293320254e-06,0.0008,0.03409862518310547
8,7.589319757244084e-06,4.255338917573681e-06,7.589319757244084e-06,4.255338917573681e-06,0.0008,0.0497441291809082
9,7.3497711127856745e-06,4.229838868923252e-06,7.3497711127856745e-06,4.229838868923252e-06,0.0008,0.04977107048034668
10,7.352047687163576e-06,4.241155838826671e-06,7.352047687163576e-06,4.241155838826671e-06,0.0008,0.04773116111755371
11,7.243320324050728e-06,4.294447571737692e-06,7.243320324050728e-06,4.294447571737692e-06,0.0008,0.050769805908203125
12,7.2060768980009014e-06,4.299183856346644e-06,7.2060768980009014e-06,4.299183856346644e-06,0.0008,0.048760175704956055
13,7.147686810640152e-06,4.3115318840136755e-06,7.147686810640152e-06,4.3115318840136755e-06,0.0008,0.04729151725769043
14,7.028635300230235e-06,4.289932494430104e-06,7.028635300230235e-06,4.289932494430104e-06,0.0008,0.03488874435424805
15,6.854631355963647e-06,4.407475225889357e-06,6.854631355963647e-06,4.407475225889357e-06,0.0008,0.05141615867614746
16,6.884178037580568e-06,4.387612043501576e-06,6.884178037580568e-06,4.387612043501576e-06,0.0008,0.05026555061340332
17,6.776813088436029e-06,4.416506799316267e-06,6.776813088436029e-06,4.416506799316267e-06,0.0008,0.04976940155029297
18,6.66176372760674e-06,4.441593737283256e-06,6.66176372760674e-06,4.441593737283256e-06,0.0004,0.04941821098327637
19,6.6192643498652616e-06,4.44482951934333e-06,6.6192643498652616e-06,4.44482951934333e-06,0.0004,0.06528043746948242
20,6.529148249683203e-06,4.476733010960743e-06,6.529148249683203e-06,4.476733010960743e-06,0.0004,0.03473162651062012
21,6.49624967991258e-06,4.558453074423596e-06,6.49624967991258e-06,4.558453074423596e-06,0.0004,0.0664677619934082
22,6.512291856779484e-06,4.539729143289151e-06,6.512291856779484e-06,4.539729143289151e-06,0.0004,0.05071067810058594
23,6.4225646565319035e-06,4.525452295638388e-06,6.4225646565319035e-06,4.525452295638388e-06,0.0004,0.06618261337280273
24,6.295088405749994e-06,4.536642190942075e-06,6.295088405749994e-06,4.536642190942075e-06,0.0004,0.04853224754333496
25,6.245321837923257e-06,4.5445855175785256e-06,6.245321837923257e-06,4.5445855175785256e-06,0.0004,0.03490257263183594
26,6.280061534198466e-06,4.539696001302218e-06,6.280061534198466e-06,4.539696001302218e-06,0.0004,0.049385786056518555
27,6.241173377929954e-06,4.578781699819956e-06,6.241173377929954e-06,4.578781699819956e-06,0.0002,0.049292802810668945
28,6.130754845798947e-06,4.608911312971031e-06,6.130754845798947e-06,4.608911312971031e-06,0.0002,0.05055856704711914
29,6.0269675668678246e-06,4.618963230313966e-06,6.0269675668678246e-06,4.618963230313966e-06,0.0002,0.0682830810546875
30,6.206132002262166e-06,4.671121441788273e-06,6.206132002262166e-06,4.671121441788273e-06,0.0002,0.05624961853027344
31,6.083661173761357e-06,4.652902789530344e-06,6.083661173761357e-06,4.652902789530344e-06,0.0002,0.05756354331970215
32,6.051789969205857e-06,4.648908143281005e-06,6.051789969205857e-06,4.648908143281005e-06,0.0002,0.05470728874206543
33,6.079213399061701e-06,4.675829986808822e-06,6.079213399061701e-06,4.675829986808822e-06,0.0002,0.05310416221618652
34,5.9547348064370455e-06,4.6839178867230655e-06,5.9547348064370455e-06,4.6839178867230655e-06,0.0002,0.04486083984375
35,6.000152443448314e-06,4.7092292697925585e-06,6.000152443448314e-06,4.7092292697925585e-06,0.0002,0.05066227912902832
36,5.964189858786994e-06,4.725599574157968e-06,5.964189858786994e-06,4.725599574157968e-06,0.0001,0.049063920974731445
37,5.9769048493762965e-06,4.7195829574775415e-06,5.9769048493762965e-06,4.7195829574775415e-06,0.0001,0.04668474197387695
38,5.854267146787606e-06,4.720711749541806e-06,5.854267146787606e-06,4.720711749541806e-06,0.0001,0.056424617767333984
39,5.905934485781472e-06,4.727544164779829e-06,5.905934485781472e-06,4.727544164779829e-06,0.0001,0.049837589263916016
40,5.839849927724572e-06,4.731493390863761e-06,5.839849927724572e-06,4.731493390863761e-06,0.0001,0.050034284591674805
41,5.769167364633176e-06,4.724824084405554e-06,5.769167364633176e-06,4.724824084405554e-06,0.0001,0.049999237060546875
42,5.842111895617563e-06,4.718991640402237e-06,5.842111895617563e-06,4.718991640402237e-06,0.0001,0.04984116554260254
43,5.913917239013244e-06,4.723526053567184e-06,5.913917239013244e-06,4.723526053567184e-06,0.0001,0.05019736289978027
44,5.798244183097268e-06,4.7317487951659135e-06,5.798244183097268e-06,4.7317487951659135e-06,0.0001,0.0651862621307373
45,5.783683936897433e-06,4.743921290355502e-06,5.783683936897433e-06,4.743921290355502e-06,5e-05,0.06804728507995605
46,5.829986803291831e-06,4.741026241390501e-06,5.829986803291831e-06,4.741026241390501e-06,5e-05,0.06030607223510742
47,5.736195016652346e-06,4.733657860924723e-06,5.736195016652346e-06,4.733657860924723e-06,5e-05,0.05197739601135254
48,5.7126224237435965e-06,4.731196822831407e-06,5.7126224237435965e-06,4.731196822831407e-06,5e-05,0.05057573318481445
49,5.811758892377839e-06,4.736974824481877e-06,5.811758892377839e-06,4.736974824481877e-06,5e-05,0.0494534969329834
50,5.881067390873796e-06,4.7487408301094545e-06,5.881067390873796e-06,4.7487408301094545e-06,5e-05,0.052573204040527344
