epoch,train_loss,val_loss,train_raw_mse,val_raw_mse,lr,seconds
1,2.150700420315843e-05,1.712969642539974e-05,2.150700420315843e-05,1.712969642539974e-05,0.0008,3.4356255531311035
2,1.946640564710833e-05,1.7022228421410544e-05,1.946640564710833e-05,1.7022228421410544e-05,0.0008,0.41611194610595703
3,1.895864486868959e-05,1.6948300690273754e-05,1.895864486868959e-05,1.6948300690273754e-05,0.0008,0.33421850204467773
4,1.8661856665858066e-05,1.695016020676121e-05,1.8661856665858066e-05,1.695016020676121e-05,0.0008,0.306506872177124
5,1.849396834586514e-05,1.6950183489825576e-05,1.849396834586514e-05,1.6950183489825576e-05,0.0008,0.3163623809814453
6,1.837719126342563e-05,1.690517892711796e-05,1.837719126342563e-05,1.690517892711796e-05,0.0008,0.377795934677124
7,1.830220120609738e-05,1.6888543759705497e-05,1.830220120609738e-05,1.6888543759705497e-05,0.0008,0.47833800315856934
8,1.8225120002171024e-05,1.6869950923137366e-05,1.8225120002171024e-05,1.6869950923137366e-05,0.0008,0.3932454586029053
9,1.8155738107452635e-05,1.6847555889398792e-05,1.8155738107452635e-05,1.6847555889398792e-05,0.0008,0.3967714309692383
10,1.808710912882816e-05,1.6822906763991342e-05,1.808710912882816e-05,1.6822906763991342e-05,0.0008,0.3991396427154541
11,1.7996556416619568e-05,1.6825202037580312e-05,1.7996556416619568e-05,1.6825202037580312e-05,0.0008,0.4145631790161133
12,1.796467462554574e-05,1.6775147305452264e-05,1.796467462554574e-05,1.6775147305452264e-05,0.0008,0.44130945205688477
13,1.7865802255983e-05,1.6718906481401062e-05,1.7865802255983e-05,1.6718906481401062e-05,0.0008,0.4003322124481201
14,1.7832479898061138e-05,1.673222934186924e-05,1.7832479898061138e-05,1.673222934186924e-05,0.0008,0.3987085819244385
15,1.7812031328503507e-05,1.671455458563287e-05,1.7812031328503507e-05,1.671455458563287e-05,0.0008,0.41276001930236816
16,1.7716972361085937e-05,1.6726932444726116e-05,1.7716972361085937e-05,1.6726932444726116e-05,0.0008,0.40049290657043457
17,1.7654389775998425e-05,1.671752987022046e-05,1.7654389775998425e-05,1.671752987022046e-05,0.0008,0.3976011276245117
18,1.761079896823503e-05,1.6678042302373798e-05,1.761079896823503e-05,1.6678042302373798e-05,0.0008,0.40075159072875977
19,1.7551277378515805e-05,1.6752374212956055e-05,1.7551277378515805e-05,1.6752374212956055e-05,0.0008,0.41306543350219727
20,1.7479758607805706e-05,1.6718425831641072e-05,1.7479758607805706e-05,1.6718425831641072e-05,0.0008,0.3877530097961426
21,1.7394741698808504e-05,1.6731389914639296e-05,1.7394741698808504e-05,1.6731389914639296e-05,0.0008,0.42239999771118164
22,1.733478085952811e-05,1.6743344385758974e-05,1.733478085952811e-05,1.6743344385758974e-05,0.0008,0.3965113162994385
23,1.725065550999716e-05,1.678393324255012e-05,1.725065550999716e-05,1.678393324255012e-05,0.0008,0.39837193489074707
24,1.7134860427177047e-05,1.689119751972612e-05,1.7134860427177047e-05,1.689119751972612e-05,0.0008,0.3849155902862549
25,1.69393180476618e-05,1.6861423646332696e-05,1.69393180476618e-05,1.6861423646332696e-05,0.0004,0.4856102466583252
26,1.6765936998126562e-05,1.7005673798848873e-05,1.6765936998126562e-05,1.7005673798848873e-05,0.0004,0.4356687068939209
27,1.6671864941599778e-05,1.7083071870729327e-05,1.6671864941599778e-05,1.7083071870729327e-05,0.0004,0.41123366355895996
28,1.6607967190793715e-05,1.6992941964417697e-05,1.6607967190793715e-05,1.6992941964417697e-05,0.0004,0.42266106605529785
29,1.6441681000287646e-05,1.722585060633719e-05,1.6441681000287646e-05,1.722585060633719e-05,0.0004,0.416550874710083
30,1.6332294180756434e-05,1.7231774181709623e-05,1.6332294180756434e-05,1.7231774181709623e-05,0.0004,0.4028809070587158
