epoch,train_loss,val_loss,train_raw_mse,val_raw_mse,lr,seconds
1,2.4080163857433945e-05,1.7186318436870352e-05,2.4080163857433945e-05,1.7186318436870352e-05,0.0008,7.1536900997161865
2,2.01846583513543e-05,1.699070489848964e-05,2.01846583513543e-05,1.699070489848964e-05,0.0008,0.39820337295532227
3,1.9339250211487525e-05,1.6926277021411805e-05,1.9339250211487525e-05,1.6926277021411805e-05,0.0008,0.42533159255981445
4,1.902369644085411e-05,1.693261343461927e-05,1.902369644085411e-05,1.693261343461927e-05,0.0008,0.41336989402770996
5,1.8857327158912085e-05,1.6923069924814627e-05,1.8857327158912085e-05,1.6923069924814627e-05,0.0008,0.40080952644348145
6,1.8626694109116217e-05,1.6884890937944876e-05,1.8626694109116217e-05,1.6884890937944876e-05,0.0008,0.4105520248413086
7,1.8480767685105094e-05,1.684636859863531e-05,1.8480767685105094e-05,1.684636859863531e-05,0.0008,0.42093467712402344
8,1.8397337880742272e-05,1.6838806768646464e-05,1.8397337880742272e-05,1.6838806768646464e-05,0.0008,0.4062368869781494
9,1.831612920796033e-05,1.6827660365379414e-05,1.831612920796033e-05,1.6827660365379414e-05,0.0008,0.3868284225463867
10,1.823843675083481e-05,1.6780332807684316e-05,1.823843675083481e-05,1.6780332807684316e-05,0.0008,0.4178657531738281
11,1.8151038530049847e-05,1.679677050560713e-05,1.8151038530049847e-05,1.679677050560713e-05,0.0008,0.40272045135498047
12,1.807791235478362e-05,1.675164166954346e-05,1.807791235478362e-05,1.675164166954346e-05,0.0008,0.4571533203125
13,1.8059366157103794e-05,1.6744056338211522e-05,1.8059366157103794e-05,1.6744056338211522e-05,0.0008,0.4608619213104248
14,1.8011289757851045e-05,1.6748708148952573e-05,1.8011289757851045e-05,1.6748708148952573e-05,0.0008,0.4241526126861572
15,1.7999923002207652e-05,1.6784804756753147e-05,1.7999923002207652e-05,1.6784804756753147e-05,0.0008,0.4109208583831787
16,1.7966535633604508e-05,1.6703074434190056e-05,1.7966535633604508e-05,1.6703074434190056e-05,0.0008,0.40782833099365234
17,1.783775143849198e-05,1.6663130809320135e-05,1.783775143849198e-05,1.6663130809320135e-05,0.0008,0.4106757640838623
18,1.7824333663156723e-05,1.6646737058181316e-05,1.7824333663156723e-05,1.6646737058181316e-05,0.0008,0.42488837242126465
19,1.7809234486776403e-05,1.6674691141815857e-05,1.7809234486776403e-05,1.6674691141815857e-05,0.0008,0.4006316661834717
20,1.7783545335987582e-05,1.667094213189557e-05,1.7783545335987582e-05,1.667094213189557e-05,0.0008,0.39782023429870605
21,1.776655244611902e-05,1.6693870347808114e-05,1.776655244611902e-05,1.6693870347808114e-05,0.0008,0.4024069309234619
22,1.7716578950057736e-05,1.6597676076344214e-05,1.7716578950057736e-05,1.6597676076344214e-05,0.0008,0.41480207443237305
23,1.766028897691285e-05,1.662967595621012e-05,1.766028897691285e-05,1.662967595621012e-05,0.0008,0.39330554008483887
24,1.7633339812164195e-05,1.6614308260614053e-05,1.7633339812164195e-05,1.6614308260614053e-05,0.0008,0.39623212814331055
25,1.7596970101294572e-05,1.6597171634202822e-05,1.7596970101294572e-05,1.6597171634202822e-05,0.0008,0.4020998477935791
26,1.7509282151877415e-05,1.6662818889017218e-05,1.7509282151877415e-05,1.6662818889017218e-05,0.0008,0.4280731678009033
27,1.7474884480179753e-05,1.6742411753511986e-05,1.7474884480179753e-05,1.6742411753511986e-05,0.0008,0.4022715091705322
28,1.7406319529982283e-05,1.6642590417177416e-05,1.7406319529982283e-05,1.6642590417177416e-05,0.0008,0.39117932319641113
29,1.731754447973799e-05,1.664797033299692e-05,1.731754447973799e-05,1.664797033299692e-05,0.0004,0.4168715476989746
30,1.7208673125423956e-05,1.66737748804735e-05,1.7208673125423956e-05,1.66737748804735e-05,0.0004,0.4355776309967041
