epoch,train_loss,val_loss,train_raw_mse,val_raw_mse,lr,seconds
1,2.084173887851648e-05,1.7252117395401e-05,2.084173887851648e-05,1.7252117395401e-05,0.0008,3.584425210952759
2,1.8779441015794875e-05,1.7022801548591813e-05,1.8779441015794875e-05,1.7022801548591813e-05,0.0008,0.36926865577697754
3,1.855049649748253e-05,1.6967263945844024e-05,1.855049649748253e-05,1.6967263945844024e-05,0.0008,0.3359661102294922
4,1.8410055126878433e-05,1.693537771643605e-05,1.8410055126878433e-05,1.693537771643605e-05,0.0008,0.33444643020629883
5,1.830911631259369e-05,1.6939160850597546e-05,1.830911631259369e-05,1.6939160850597546e-05,0.0008,0.3832075595855713
6,1.8239558266941457e-05,1.692285659373738e-05,1.8239558266941457e-05,1.692285659373738e-05,0.0008,0.3522927761077881
7,1.819903904106468e-05,1.686911542492453e-05,1.819903904106468e-05,1.686911542492453e-05,0.0008,0.4359445571899414
8,1.8127264993381687e-05,1.6965397880994713e-05,1.8127264993381687e-05,1.6965397880994713e-05,0.0008,0.40126943588256836
9,1.809068908187328e-05,1.6813380716484973e-05,1.809068908187328e-05,1.6813380716484973e-05,0.0008,0.3873004913330078
10,1.7933453636942432e-05,1.6828087900648825e-05,1.7933453636942432e-05,1.6828087900648825e-05,0.0008,0.381009578704834
11,1.7900751117849723e-05,1.6812774483696557e-05,1.7900751117849723e-05,1.6812774483696557e-05,0.0008,0.3815741539001465
12,1.7840597356553188e-05,1.6732362637412735e-05,1.7840597356553188e-05,1.6732362637412735e-05,0.0008,0.38422703742980957
13,1.7805029565352014e-05,1.6724955494282766e-05,1.7805029565352014e-05,1.6724955494282766e-05,0.0008,0.3842811584472656
14,1.773613283148734e-05,1.6736321413191035e-05,1.773613283148734e-05,1.6736321413191035e-05,0.0008,0.4032931327819824
15,1.7740578623488546e-05,1.6711651551304384e-05,1.7740578623488546e-05,1.6711651551304384e-05,0.0008,0.44760942459106445
16,1.7680467572063207e-05,1.669037897954695e-05,1.7680467572063207e-05,1.669037897954695e-05,0.0008,0.42592358589172363
17,1.7625633045099676e-05,1.6758702913648448e-05,1.7625633045099676e-05,1.6758702913648448e-05,0.0008,0.3942756652832031
18,1.756848785589682e-05,1.6677494713803753e-05,1.756848785589682e-05,1.6677494713803753e-05,0.0008,0.3865358829498291
19,1.7562109933351165e-05,1.6712764918338507e-05,1.7562109933351165e-05,1.6712764918338507e-05,0.0008,0.38370442390441895
20,1.7511653641122394e-05,1.664999552303925e-05,1.7511653641122394e-05,1.664999552303925e-05,0.0008,0.3825514316558838
21,1.7422055861970875e-05,1.6774607211118564e-05,1.7422055861970875e-05,1.6774607211118564e-05,0.0008,0.39527010917663574
22,1.740399191476172e-05,1.677146487054415e-05,1.740399191476172e-05,1.677146487054415e-05,0.0008,0.38545799255371094
23,1.7355376221530606e-05,1.6793155591585673e-05,1.7355376221530606e-05,1.6793155591585673e-05,0.0008,0.3990597724914551
24,1.7293547170993406e-05,1.682989066466689e-05,1.7293547170993406e-05,1.682989066466689e-05,0.0008,0.3819396495819092
25,1.7190618964377792e-05,1.677011350693647e-05,1.7190618964377792e-05,1.677011350693647e-05,0.0008,0.3933579921722412
26,1.7079112876672297e-05,1.6882132476894186e-05,1.7079112876672297e-05,1.6882132476894186e-05,0.0008,0.3916451930999756
27,1.709889420453692e-05,1.6851709588081576e-05,1.709889420453692e-05,1.6851709588081576e-05,0.0004,0.36932969093322754
28,1.6891135783225763e-05,1.6811891546240075e-05,1.6891135783225763e-05,1.6811891546240075e-05,0.0004,0.39653706550598145
29,1.676577558100689e-05,1.6876942245289682e-05,1.676577558100689e-05,1.6876942245289682e-05,0.0004,0.38428330421447754
30,1.672086920734728e-05,1.7014926561387257e-05,1.672086920734728e-05,1.7014926561387257e-05,0.0004,0.4062502384185791
