epoch,train_loss,val_loss,train_raw_mse,val_raw_mse,lr,seconds
1,2.2469449031632394e-05,1.7188155761687086e-05,2.2469449031632394e-05,1.7188155761687086e-05,0.0008,3.6523892879486084
2,1.967617601621896e-05,1.710665499558672e-05,1.967617601621896e-05,1.710665499558672e-05,0.0008,0.3519139289855957
3,1.905695076857228e-05,1.7006339112413117e-05,1.905695076857228e-05,1.7006339112413117e-05,0.0008,0.38265562057495117
4,1.8811317640938797e-05,1.697881023574155e-05,1.8811317640938797e-05,1.697881023574155e-05,0.0008,0.3579857349395752
5,1.8559824384283273e-05,1.6939030756475405e-05,1.8559824384283273e-05,1.6939030756475405e-05,0.0008,0.362335205078125
6,1.8457954429322853e-05,1.6944640810834245e-05,1.8457954429322853e-05,1.6944640810834245e-05,0.0008,0.4176156520843506
7,1.841456432885025e-05,1.6892095081857406e-05,1.841456432885025e-05,1.6892095081857406e-05,0.0008,0.39789772033691406
8,1.832360136177158e-05,1.6940753484959715e-05,1.832360136177158e-05,1.6940753484959715e-05,0.0008,0.3993697166442871
9,1.8239838573208546e-05,1.6842329496284948e-05,1.8239838573208546e-05,1.6842329496284948e-05,0.0008,0.383894681930542
10,1.8147381488233806e-05,1.6832352703204378e-05,1.8147381488233806e-05,1.6832352703204378e-05,0.0008,0.40592479705810547
11,1.8044296484731604e-05,1.6783760875114238e-05,1.8044296484731604e-05,1.6783760875114238e-05,0.0008,0.38180088996887207
12,1.798521392629482e-05,1.6750748618505894e-05,1.798521392629482e-05,1.6750748618505894e-05,0.0008,0.38228631019592285
13,1.793310591892805e-05,1.6705308808013798e-05,1.793310591892805e-05,1.6705308808013798e-05,0.0008,0.3794255256652832
14,1.7899932936416006e-05,1.6818046642583795e-05,1.7899932936416006e-05,1.6818046642583795e-05,0.0008,0.4023399353027344
15,1.7890159469970967e-05,1.672255733865313e-05,1.7890159469970967e-05,1.672255733865313e-05,0.0008,0.3815011978149414
16,1.7826954972406385e-05,1.6739573911763728e-05,1.7826954972406385e-05,1.6739573911763728e-05,0.0008,0.4820888042449951
17,1.7756713168637363e-05,1.671951809839811e-05,1.7756713168637363e-05,1.671951809839811e-05,0.0008,0.5250961780548096
18,1.7682938050711527e-05,1.673899831075687e-05,1.7682938050711527e-05,1.673899831075687e-05,0.0008,0.37596797943115234
19,1.763143653079169e-05,1.6681766719557345e-05,1.763143653079169e-05,1.6681766719557345e-05,0.0008,0.3993074893951416
20,1.7576114114490338e-05,1.6698303079465403e-05,1.7576114114490338e-05,1.6698303079465403e-05,0.0008,0.4016451835632324
21,1.7503907401987816e-05,1.6778248973423615e-05,1.7503907401987816e-05,1.6778248973423615e-05,0.0008,0.363872766494751
22,1.7432895074307453e-05,1.6782942620920947e-05,1.7432895074307453e-05,1.6782942620920947e-05,0.0008,0.39911770820617676
23,1.7398230629623867e-05,1.6809096559882165e-05,1.7398230629623867e-05,1.6809096559882165e-05,0.0008,0.4026508331298828
24,1.7299874962191097e-05,1.684039321844466e-05,1.7299874962191097e-05,1.684039321844466e-05,0.0008,0.3852386474609375
25,1.7190657126775476e-05,1.6902723946259357e-05,1.7190657126775476e-05,1.6902723946259357e-05,0.0008,0.39745593070983887
26,1.7129895277321338e-05,1.6992021628539077e-05,1.7129895277321338e-05,1.6992021628539077e-05,0.0004,0.3761568069458008
27,1.7032138021022548e-05,1.6965639952104537e-05,1.7032138021022548e-05,1.6965639952104537e-05,0.0004,0.39116334915161133
28,1.697090170637239e-05,1.684272661805153e-05,1.697090170637239e-05,1.684272661805153e-05,0.0004,0.3986473083496094
29,1.6823841469886247e-05,1.6979341526166537e-05,1.6823841469886247e-05,1.6979341526166537e-05,0.0004,0.38666367530822754
30,1.6779712423158346e-05,1.7082769700209612e-05,1.6779712423158346e-05,1.7082769700209612e-05,0.0004,0.4611794948577881
