epoch,train_loss,val_loss,train_raw_mse,val_raw_mse,lr,seconds
1,2.2894904395798223e-05,1.715726568363607e-05,2.2894904395798223e-05,1.715726568363607e-05,0.0008,3.503519058227539
2,1.983394191483967e-05,1.6989091600407848e-05,1.983394191483967e-05,1.6989091600407848e-05,0.0008,0.3854837417602539
3,1.9167843856848776e-05,1.6937498876359315e-05,1.9167843856848776e-05,1.6937498876359315e-05,0.0008,0.4351847171783447
4,1.888687278551515e-05,1.695093036687467e-05,1.888687278551515e-05,1.695093036687467e-05,0.0008,0.43726038932800293
5,1.871086747996742e-05,1.6925533200264907e-05,1.871086747996742e-05,1.6925533200264907e-05,0.0008,0.4382021427154541
6,1.8548670195741578e-05,1.6905711527215316e-05,1.8548670195741578e-05,1.6905711527215316e-05,0.0008,0.4032886028289795
7,1.8445938112563455e-05,1.688512697000988e-05,1.8445938112563455e-05,1.688512697000988e-05,0.0008,0.4681518077850342
8,1.8389602701063268e-05,1.6875646688276903e-05,1.8389602701063268e-05,1.6875646688276903e-05,0.0008,0.4645407199859619
9,1.829779561376199e-05,1.686348499788437e-05,1.829779561376199e-05,1.686348499788437e-05,0.0008,0.5504772663116455
10,1.823535370931495e-05,1.6827750587253833e-05,1.823535370931495e-05,1.6827750587253833e-05,0.0008,0.5292696952819824
11,1.816624633647734e-05,1.6856530637596735e-05,1.816624633647734e-05,1.6856530637596735e-05,0.0008,0.48050403594970703
12,1.8125931928807406e-05,1.6800719313323496e-05,1.8125931928807406e-05,1.6800719313323496e-05,0.0008,0.4625566005706787
13,1.8071845079248306e-05,1.6790517183835617e-05,1.8071845079248306e-05,1.6790517183835617e-05,0.0008,0.4737422466278076
14,1.8061177506751846e-05,1.6813117981655522e-05,1.8061177506751846e-05,1.6813117981655522e-05,0.0008,0.46410441398620605
15,1.803600196581101e-05,1.6802977916086094e-05,1.803600196581101e-05,1.6802977916086094e-05,0.0008,0.4838743209838867
16,1.7960476507141722e-05,1.67492481705267e-05,1.7960476507141722e-05,1.67492481705267e-05,0.0008,0.46390628814697266
17,1.787212680937955e-05,1.6709350820747204e-05,1.787212680937955e-05,1.6709350820747204e-05,0.0008,0.460299015045166
18,1.7870423180283977e-05,1.66899665055098e-05,1.7870423180283977e-05,1.66899665055098e-05,0.0008,0.466083288192749
19,1.782608869689284e-05,1.670253164775204e-05,1.782608869689284e-05,1.670253164775204e-05,0.0008,0.47377896308898926
20,1.777603927621385e-05,1.671564990829211e-05,1.777603927621385e-05,1.671564990829211e-05,0.0008,0.4807455539703369
21,1.7773353029042483e-05,1.6687571405782365e-05,1.7773353029042483e-05,1.6687571405782365e-05,0.0008,0.47327351570129395
22,1.7750712104316335e-05,1.6683754802215843e-05,1.7750712104316335e-05,1.6683754802215843e-05,0.0008,0.4607813358306885
23,1.766629357007332e-05,1.666871532506775e-05,1.766629357007332e-05,1.666871532506775e-05,0.0008,0.46136975288391113
24,1.7645385960349812e-05,1.6646348158246837e-05,1.7645385960349812e-05,1.6646348158246837e-05,0.0008,0.4705348014831543
25,1.7599374878045637e-05,1.6628773300908507e-05,1.7599374878045637e-05,1.6628773300908507e-05,0.0008,0.4745025634765625
26,1.7574772209627552e-05,1.674963299592491e-05,1.7574772209627552e-05,1.674963299592491e-05,0.0008,0.540412187576294
27,1.7548542891745456e-05,1.6824049380375074e-05,1.7548542891745456e-05,1.6824049380375074e-05,0.0008,0.46877622604370117
28,1.7484806812717578e-05,1.663116294366773e-05,1.7484806812717578e-05,1.663116294366773e-05,0.0008,0.4611642360687256
29,1.7412627494195475e-05,1.6674964281264693e-05,1.7412627494195475e-05,1.6674964281264693e-05,0.0008,0.47328662872314453
30,1.739830582664581e-05,1.672924052400049e-05,1.739830582664581e-05,1.672924052400049e-05,0.0008,0.4640796184539795
