epoch,train_loss,val_loss,train_raw_mse,val_raw_mse,lr,seconds
1,2.3294572747545318e-05,1.7172076768474652e-05,2.3294572747545318e-05,1.7172076768474652e-05,0.0008,3.5835063457489014
2,2.008452058362309e-05,1.7009900548146108e-05,2.008452058362309e-05,1.7009900548146108e-05,0.0008,0.29866743087768555
3,1.936621316417586e-05,1.697079205769114e-05,1.936621316417586e-05,1.697079205769114e-05,0.0008,0.3095970153808594
4,1.9004726418643258e-05,1.694267753919121e-05,1.9004726418643258e-05,1.694267753919121e-05,0.0008,0.2823474407196045
5,1.883252367406385e-05,1.6973544916254468e-05,1.883252367406385e-05,1.6973544916254468e-05,0.0008,0.3035156726837158
6,1.8676168874662835e-05,1.6953921149251984e-05,1.8676168874662835e-05,1.6953921149251984e-05,0.0008,0.2815420627593994
7,1.8585154684842564e-05,1.693246689683292e-05,1.8585154684842564e-05,1.693246689683292e-05,0.0008,0.3029494285583496
8,1.851714881922817e-05,1.693181700829882e-05,1.851714881922817e-05,1.693181700829882e-05,0.0008,0.28496694564819336
9,1.8450600327923895e-05,1.6948658012552186e-05,1.8450600327923895e-05,1.6948658012552186e-05,0.0008,0.3008580207824707
10,1.8375290164840407e-05,1.6920694761211053e-05,1.8375290164840407e-05,1.6920694761211053e-05,0.0008,0.29602813720703125
11,1.8315848865313456e-05,1.6951197903836145e-05,1.8315848865313456e-05,1.6951197903836145e-05,0.0008,0.3023085594177246
12,1.8279147516295778e-05,1.6925313975661993e-05,1.8279147516295778e-05,1.6925313975661993e-05,0.0008,0.29938268661499023
13,1.8232949296361768e-05,1.691237644990906e-05,1.8232949296361768e-05,1.691237644990906e-05,0.0008,0.3014256954193115
14,1.818930159060983e-05,1.6937386099016295e-05,1.818930159060983e-05,1.6937386099016295e-05,0.0008,0.32502198219299316
15,1.821902274969034e-05,1.6972392986644992e-05,1.821902274969034e-05,1.6972392986644992e-05,0.0008,0.2920403480529785
16,1.8137985061912332e-05,1.6930815691011957e-05,1.8137985061912332e-05,1.6930815691011957e-05,0.0008,0.300309419631958
17,1.8115339007636066e-05,1.690686083748005e-05,1.8115339007636066e-05,1.690686083748005e-05,0.0008,0.30238795280456543
18,1.809709025110351e-05,1.6897526729735547e-05,1.809709025110351e-05,1.6897526729735547e-05,0.0008,0.30388426780700684
19,1.8108332915289795e-05,1.6971889344858937e-05,1.8108332915289795e-05,1.6971889344858937e-05,0.0008,0.3113980293273926
20,1.8079654255416243e-05,1.691842349828221e-05,1.8079654255416243e-05,1.691842349828221e-05,0.0008,0.2909367084503174
21,1.8046821023744995e-05,1.6892471248866058e-05,1.8046821023744995e-05,1.6892471248866058e-05,0.0008,0.3709702491760254
22,1.801886872272007e-05,1.68938916613115e-05,1.801886872272007e-05,1.68938916613115e-05,0.0008,0.33767271041870117
23,1.8013538247032558e-05,1.691345081781037e-05,1.8013538247032558e-05,1.691345081781037e-05,0.0008,0.29722046852111816
24,1.8005655547312927e-05,1.6913794170250184e-05,1.8005655547312927e-05,1.6913794170250184e-05,0.0008,0.29772448539733887
25,1.797099095711019e-05,1.6905752127058803e-05,1.797099095711019e-05,1.6905752127058803e-05,0.0008,0.3082113265991211
26,1.796999025827972e-05,1.6926323369261808e-05,1.796999025827972e-05,1.6926323369261808e-05,0.0008,0.29334115982055664
27,1.79514769843081e-05,1.6946441028267146e-05,1.79514769843081e-05,1.6946441028267146e-05,0.0008,0.28301048278808594
28,1.793106242985232e-05,1.691015131655149e-05,1.793106242985232e-05,1.691015131655149e-05,0.0004,0.3210296630859375
29,1.7908284280565568e-05,1.6930145939113573e-05,1.7908284280565568e-05,1.6930145939113573e-05,0.0004,0.2939300537109375
30,1.7886935311253182e-05,1.6917798348004e-05,1.7886935311253182e-05,1.6917798348004e-05,0.0004,0.285693883895874
