epoch,train_loss,val_loss,train_raw_mse,val_raw_mse,lr,seconds
1,2.422404919343535e-05,1.7261315151699818e-05,2.422404919343535e-05,1.7261315151699818e-05,0.0008,21.98525834083557
2,2.0252125905244613e-05,1.7036128920153715e-05,2.0252125905244613e-05,1.7036128920153715e-05,0.0008,0.44026613235473633
3,1.9350604052306153e-05,1.6967474002740347e-05,1.9350604052306153e-05,1.6967474002740347e-05,0.0008,0.5919754505157471
4,1.902846837765537e-05,1.6985266192932613e-05,1.902846837765537e-05,1.6985266192932613e-05,0.0008,0.5339081287384033
5,1.886297523014946e-05,1.6966878101811746e-05,1.886297523014946e-05,1.6966878101811746e-05,0.0008,0.5329914093017578
6,1.8627036770340055e-05,1.6941326175583527e-05,1.8627036770340055e-05,1.6941326175583527e-05,0.0008,0.6125936508178711
7,1.848598119977396e-05,1.6906976889004e-05,1.848598119977396e-05,1.6906976889004e-05,0.0008,0.516118049621582
8,1.84406330663478e-05,1.6898805042728782e-05,1.84406330663478e-05,1.6898805042728782e-05,0.0008,0.4819633960723877
9,1.8347259174333886e-05,1.688173520960845e-05,1.8347259174333886e-05,1.688173520960845e-05,0.0008,0.4811687469482422
10,1.8274958129040898e-05,1.6839137606439182e-05,1.8274958129040898e-05,1.6839137606439182e-05,0.0008,0.44848084449768066
11,1.818465556425508e-05,1.6828791849547997e-05,1.818465556425508e-05,1.6828791849547997e-05,0.0008,0.41626954078674316
12,1.8101470377587248e-05,1.678050379268825e-05,1.8101470377587248e-05,1.678050379268825e-05,0.0008,0.4443037509918213
13,1.8064550640701782e-05,1.6766061744419858e-05,1.8064550640701782e-05,1.6766061744419858e-05,0.0008,0.46287083625793457
14,1.799992263840977e-05,1.6743097730795853e-05,1.799992263840977e-05,1.6743097730795853e-05,0.0008,0.4394571781158447
15,1.7971450070035644e-05,1.677757616562303e-05,1.7971450070035644e-05,1.677757616562303e-05,0.0008,0.44585609436035156
16,1.7928190718521364e-05,1.6716565369279124e-05,1.7928190718521364e-05,1.6716565369279124e-05,0.0008,0.4873995780944824
17,1.7826301082095597e-05,1.666299423959572e-05,1.7826301082095597e-05,1.666299423959572e-05,0.0008,0.44310712814331055
18,1.7784610827220602e-05,1.6669341566739603e-05,1.7784610827220602e-05,1.6669341566739603e-05,0.0008,0.43212008476257324
19,1.7788230325095354e-05,1.672263017098885e-05,1.7788230325095354e-05,1.672263017098885e-05,0.0008,0.4532921314239502
20,1.7732281521603e-05,1.6698528415872716e-05,1.7732281521603e-05,1.6698528415872716e-05,0.0008,0.44246864318847656
21,1.7715465983201284e-05,1.6700783089618198e-05,1.7715465983201284e-05,1.6700783089618198e-05,0.0008,0.4396176338195801
22,1.767036064848071e-05,1.665819450863637e-05,1.767036064848071e-05,1.665819450863637e-05,0.0008,0.4600081443786621
23,1.7593603079149034e-05,1.670695208304096e-05,1.7593603079149034e-05,1.670695208304096e-05,0.0008,0.44298458099365234
24,1.7577455946593545e-05,1.6695883532520382e-05,1.7577455946593545e-05,1.6695883532520382e-05,0.0008,0.4448401927947998
25,1.751473238982726e-05,1.670028330408968e-05,1.751473238982726e-05,1.670028330408968e-05,0.0008,0.41641712188720703
26,1.7433383618481457e-05,1.67511551262578e-05,1.7433383618481457e-05,1.67511551262578e-05,0.0008,0.4448261260986328
27,1.7383008816977963e-05,1.686598057858646e-05,1.7383008816977963e-05,1.686598057858646e-05,0.0008,0.4365239143371582
28,1.7331182352791074e-05,1.676663763646502e-05,1.7331182352791074e-05,1.676663763646502e-05,0.0008,0.4821507930755615
29,1.721330343571026e-05,1.6857923474162816e-05,1.721330343571026e-05,1.6857923474162816e-05,0.0004,0.6395595073699951
30,1.7102854544646108e-05,1.689079115749337e-05,1.7102854544646108e-05,1.689079115749337e-05,0.0004,0.4604964256286621
