epoch,train_loss,val_loss,train_raw_mse,val_raw_mse,lr,seconds
1,1.0038269162275052e-05,5.469904332737012e-06,1.0038269162275052e-05,5.469904332737012e-06,0.0008,7.557626008987427
2,9.540048722556094e-06,5.084623277677262e-06,9.540048722556094e-06,5.084623277677262e-06,0.0008,0.05027270317077637
3,9.45196582809634e-06,5.102857509579432e-06,9.45196582809634e-06,5.102857509579432e-06,0.0008,0.04808330535888672
4,9.286882990030184e-06,5.137917620838077e-06,9.286882990030184e-06,5.137917620838077e-06,0.0008,0.037497520446777344
5,9.099828124211248e-06,5.001845238439273e-06,9.099828124211248e-06,5.001845238439273e-06,0.0008,0.06815838813781738
6,9.138320668474384e-06,4.998992759889613e-06,9.138320668474384e-06,4.998992759889613e-06,0.0008,0.08592891693115234
7,9.049957649646482e-06,5.223803251889573e-06,9.049957649646482e-06,5.223803251889573e-06,0.0008,0.08226561546325684
8,8.93116339284461e-06,5.058018814452225e-06,8.93116339284461e-06,5.058018814452225e-06,0.0008,0.08355236053466797
9,8.834639099101574e-06,5.142207555763889e-06,8.834639099101574e-06,5.142207555763889e-06,0.0008,0.06139993667602539
10,8.76187421757398e-06,5.26634130437742e-06,8.76187421757398e-06,5.26634130437742e-06,0.0008,0.0717318058013916
11,8.669936657194436e-06,5.304460425274253e-06,8.669936657194436e-06,5.304460425274253e-06,0.0008,0.04280996322631836
12,8.370486815086528e-06,5.448253280822731e-06,8.370486815086528e-06,5.448253280822731e-06,0.0008,0.03648090362548828
13,8.344888177210427e-06,5.557120402954752e-06,8.344888177210427e-06,5.557120402954752e-06,0.0008,0.04880690574645996
14,8.171442459570244e-06,5.711968772933081e-06,8.171442459570244e-06,5.711968772933081e-06,0.0008,0.03671097755432129
15,7.921336570385998e-06,5.851065907336306e-06,7.921336570385998e-06,5.851065907336306e-06,0.0004,0.050695180892944336
16,7.864690436084251e-06,5.73659197774153e-06,7.864690436084251e-06,5.73659197774153e-06,0.0004,0.03934311866760254
17,7.701745516897063e-06,5.8108596476813545e-06,7.701745516897063e-06,5.8108596476813545e-06,0.0004,0.04211831092834473
18,7.531056174533053e-06,6.0067994430331355e-06,7.531056174533053e-06,6.0067994430331355e-06,0.0004,0.049478769302368164
19,7.432250110165721e-06,5.86529328453859e-06,7.432250110165721e-06,5.86529328453859e-06,0.0004,0.06728386878967285
20,7.381706457939193e-06,6.018992129005103e-06,7.381706457939193e-06,6.018992129005103e-06,0.0004,0.03563213348388672
21,7.112997460959984e-06,5.925772560052185e-06,7.112997460959984e-06,5.925772560052185e-06,0.0004,0.06224322319030762
22,7.088354247268096e-06,6.0262235213789e-06,7.088354247268096e-06,6.0262235213789e-06,0.0004,0.049224138259887695
23,7.030578065799394e-06,6.128330975722444e-06,7.030578065799394e-06,6.128330975722444e-06,0.0004,0.0334775447845459
24,6.855472596119701e-06,6.063109746416255e-06,6.855472596119701e-06,6.063109746416255e-06,0.0002,0.03590822219848633
25,6.765865009583649e-06,6.122192341232828e-06,6.765865009583649e-06,6.122192341232828e-06,0.0002,0.03708910942077637
26,6.72870957411457e-06,6.225794246953835e-06,6.72870957411457e-06,6.225794246953835e-06,0.0002,0.04634714126586914
27,6.624559091505944e-06,6.274227871472249e-06,6.624559091505944e-06,6.274227871472249e-06,0.0002,0.03365516662597656
28,6.52716365342106e-06,6.27520315295745e-06,6.52716365342106e-06,6.27520315295745e-06,0.0002,0.030514001846313477
29,6.541264535068573e-06,6.295988290124417e-06,6.541264535068573e-06,6.295988290124417e-06,0.0002,0.06147456169128418
30,6.422375539235266e-06,6.339866862011452e-06,6.422375539235266e-06,6.339866862011452e-06,0.0002,0.05780744552612305
31,6.500296573600887e-06,6.383941430006719e-06,6.500296573600887e-06,6.383941430006719e-06,0.0002,0.0680551528930664
32,6.3947552462195745e-06,6.365527193944824e-06,6.3947552462195745e-06,6.365527193944824e-06,0.0002,0.044404029846191406
33,6.302799950693346e-06,6.395792449135722e-06,6.302799950693346e-06,6.395792449135722e-06,0.0001,0.06673693656921387
34,6.207661802667038e-06,6.401199243555311e-06,6.207661802667038e-06,6.401199243555311e-06,0.0001,0.0665125846862793
35,6.152997229946777e-06,6.433978190519459e-06,6.152997229946777e-06,6.433978190519459e-06,0.0001,0.05499148368835449
36,6.2423113528590575e-06,6.458496651854754e-06,6.2423113528590575e-06,6.458496651854754e-06,0.0001,0.04509854316711426
37,6.197051182728804e-06,6.457885774580063e-06,6.197051182728804e-06,6.457885774580063e-06,0.0001,0.047995567321777344
38,6.05708745145724e-06,6.483253855549265e-06,6.05708745145724e-06,6.483253855549265e-06,0.0001,0.04610633850097656
39,6.205298329102031e-06,6.513269757609426e-06,6.205298329102031e-06,6.513269757609426e-06,0.0001,0.03867650032043457
40,5.947160389041528e-06,6.519444923469564e-06,5.947160389041528e-06,6.519444923469564e-06,0.0001,0.04284930229187012
