epoch,train_loss,val_loss,train_raw_mse,val_raw_mse,lr,seconds
1,1.0126188650853388e-05,5.597597616239606e-06,1.0126188650853388e-05,5.597597616239606e-06,0.0008,5.1879658699035645
2,9.551384967683893e-06,5.287774380728176e-06,9.551384967683893e-06,5.287774380728176e-06,0.0008,0.04789161682128906
3,9.26325204394137e-06,5.128043691608279e-06,9.26325204394137e-06,5.128043691608279e-06,0.0008,0.050440073013305664
4,9.091282815158289e-06,5.154112765618872e-06,9.091282815158289e-06,5.154112765618872e-06,0.0008,0.04690742492675781
5,8.891905584581158e-06,5.111745243387607e-06,8.891905584581158e-06,5.111745243387607e-06,0.0008,0.052207231521606445
6,8.753911818833634e-06,5.0600651017399896e-06,8.753911818833634e-06,5.0600651017399896e-06,0.0008,0.05031847953796387
7,8.687305429096645e-06,5.165012832245945e-06,8.687305429096645e-06,5.165012832245945e-06,0.0008,0.03126072883605957
8,8.488585156859093e-06,5.17103027656655e-06,8.488585156859093e-06,5.17103027656655e-06,0.0008,0.053391456604003906
9,8.275711707028677e-06,5.2286450227256864e-06,8.275711707028677e-06,5.2286450227256864e-06,0.0008,0.06186103820800781
10,8.221029323370507e-06,5.471672996767059e-06,8.221029323370507e-06,5.471672996767059e-06,0.0008,0.05392146110534668
11,7.973885355265034e-06,5.483231613349441e-06,7.973885355265034e-06,5.483231613349441e-06,0.0008,0.06770849227905273
12,7.777353933609751e-06,5.593116611635196e-06,7.777353933609751e-06,5.593116611635196e-06,0.0008,0.06638717651367188
13,7.621188084764678e-06,5.716746197019044e-06,7.621188084764678e-06,5.716746197019044e-06,0.0008,0.051232099533081055
14,7.508410665953609e-06,5.8634077504393645e-06,7.508410665953609e-06,5.8634077504393645e-06,0.0008,0.040398359298706055
15,7.327224921027664e-06,5.873899226571666e-06,7.327224921027664e-06,5.873899226571666e-06,0.0004,0.0605010986328125
16,7.248870512436649e-06,5.974315930264614e-06,7.248870512436649e-06,5.974315930264614e-06,0.0004,0.05771040916442871
17,7.133952825218633e-06,6.013274590562408e-06,7.133952825218633e-06,6.013274590562408e-06,0.0004,0.06339502334594727
18,7.107005709864704e-06,6.052637672837591e-06,7.107005709864704e-06,6.052637672837591e-06,0.0004,0.05220484733581543
19,7.025624730279863e-06,6.117279554018751e-06,7.025624730279863e-06,6.117279554018751e-06,0.0004,0.046160221099853516
20,6.89595458425174e-06,6.0994705866808845e-06,6.89595458425174e-06,6.0994705866808845e-06,0.0004,0.055316925048828125
21,6.728998490264833e-06,6.1425645678051905e-06,6.728998490264833e-06,6.1425645678051905e-06,0.0004,0.04214644432067871
22,6.722190695048387e-06,6.209692855918547e-06,6.722190695048387e-06,6.209692855918547e-06,0.0004,0.0518496036529541
23,6.554163519467693e-06,6.2231835424123956e-06,6.554163519467693e-06,6.2231835424123956e-06,0.0004,0.07002735137939453
24,6.489760077480848e-06,6.3028134415314225e-06,6.489760077480848e-06,6.3028134415314225e-06,0.0002,0.05261707305908203
25,6.400945721907192e-06,6.305927854555193e-06,6.400945721907192e-06,6.305927854555193e-06,0.0002,0.04293203353881836
26,6.372328622698357e-06,6.264889786204246e-06,6.372328622698357e-06,6.264889786204246e-06,0.0002,0.0536656379699707
27,6.274776524151093e-06,6.30358150980707e-06,6.274776524151093e-06,6.30358150980707e-06,0.0002,0.03167867660522461
28,6.279177644804197e-06,6.339377705444349e-06,6.279177644804197e-06,6.339377705444349e-06,0.0002,0.06302785873413086
29,6.25990590682098e-06,6.313308707224981e-06,6.25990590682098e-06,6.313308707224981e-06,0.0002,0.05146169662475586
30,6.271465357106838e-06,6.318481003593964e-06,6.271465357106838e-06,6.318481003593964e-06,0.0002,0.07780146598815918
31,6.08632255231593e-06,6.363625288940966e-06,6.08632255231593e-06,6.363625288940966e-06,0.0002,0.05328369140625
32,6.060282582135794e-06,6.341869266179856e-06,6.060282582135794e-06,6.341869266179856e-06,0.0002,0.05023932456970215
33,6.143091165237517e-06,6.3043347230025875e-06,6.143091165237517e-06,6.3043347230025875e-06,0.0001,0.05191993713378906
34,6.14707649522946e-06,6.30734742420221e-06,6.14707649522946e-06,6.30734742420221e-06,0.0001,0.05565142631530762
35,6.057542729346703e-06,6.3394779014439946e-06,6.057542729346703e-06,6.3394779014439946e-06,0.0001,0.046022653579711914
36,6.2001871962517425e-06,6.369746946196149e-06,6.2001871962517425e-06,6.369746946196149e-06,0.0001,0.04994487762451172
37,6.080211505832267e-06,6.386635201730921e-06,6.080211505832267e-06,6.386635201730921e-06,0.0001,0.04143261909484863
38,6.035245178281912e-06,6.409297384379897e-06,6.035245178281912e-06,6.409297384379897e-06,0.0001,0.0424039363861084
39,6.005032522201266e-06,6.433826608069164e-06,6.005032522201266e-06,6.433826608069164e-06,0.0001,0.0723111629486084
40,5.959942048624119e-06,6.4192377067229245e-06,5.959942048624119e-06,6.4192377067229245e-06,0.0001,0.05524301528930664
